pid,mu,sigma
223.0,1500.0,500.0
224.0,863.72950807365248,188.63298971151875
225.0,1084.0526209547734,365.59010719620574
226.0,683.98607276672215,242.85658786303046
227.0,913.96890263196747,106.19684580040872
228.0,1802.3958969790194,97.156124258544793
229.0,946.92904559961585,215.28639040510899
230.0,1321.2638996078663,376.43084135062384
231.0,1071.6839803516259,331.60932284435773
232.0,2013.7765654533057,325.37843080650737
233.0,1750.5721707573512,121.89698362528591
234.0,2149.8080352366096,288.09731263687252
235.0,1348.5505239742938,101.78629516075242
236.0,891.53052890357446,337.83080990525241
237.0,1064.8553700240179,361.66152941875748
238.0,1834.4647553333832,384.22845323382126
239.0,1001.2527193871401,150.33438921184813
240.0,619.94742494045079,281.48727778037795
241.0,1690.0747729562156,95.306602221962947
242.0,1062.8240827914346,188.5938539977513
243.0,876.03134129254681,238.8706258514548
244.0,784.0644119738314,293.25770374315471
245.0,858.14591044403153,298.09593207851788
246.0,781.44387525488446,333.44459494938747
247.0,1174.2224684592102,156.50471517633852
248.0,1305.3760612470091,327.8490409331713
249.0,1086.8757372180653,116.6362382389063
250.0,1421.5769562896128,203.19518824999571
251.0,982.50218340521474,107.68442440184319
252.0,1069.2244367039355,362.11958656222822
253.0,923.13499756560986,202.08062615780366
254.0,1731.8708830057335,399.27719486318631
255.0,1432.2257440299388,372.73441928467861
256.0,1401.8493417050925,95.439656000046071
257.0,1079.0883667144685,367.50811612444056
258.0,688.15409990671697,273.38451644485713
259.0,1672.3457354411564,281.60048359132259
260.0,690.65938313329582,97.397974048131715
261.0,773.0321239379698,112.51669426054058
262.0,858.82761904066558,145.62595670468656
263.0,1111.2304453009958,93.210496649715381
264.0,1700.5413383980149,241.56393616616668
265.0,1652.9951101856304,100.64933139864104
266.0,1390.6480764327562,253.48933910862547
267.0,1392.3522582404726,313.25680272068081
268.0,1231.4247869441351,275.43659588328467
269.0,1527.5470481960861,235.46835779740056
270.0,1007.0375781289252,325.15528005265497
271.0,1427.3374495745586,206.49160585632393
272.0,1734.55263547763,298.93882440162656
273.0,1334.4948113781252,417.67210135430082
274.0,1213.6537199760537,364.3512271635048
275.0,1227.7448901579196,205.64470615080808
